Date,Close,High,Low,Open,Volume,Ticker
,MSFT,MSFT,MSFT,MSFT,MSFT,
2023-04-17,282.1188659667969,284.85410843164084,279.53995543823305,283.22272922701467,23836200,MSFT
2023-04-18,281.69879150390625,285.01038094044696,280.37026829939435,284.82477404987856,20161800,MSFT
2023-04-19,281.7769470214844,282.36304264200237,277.9573982326938,279.3738357310493,17150300,MSFT
2023-04-20,279.4910888671875,282.34355041766946,278.48491818075087,278.6509985011603,23244400,MSFT
2023-04-21,279.1492004394531,279.6473817610795,276.511650666874,278.41655103724565,21676400,MSFT
2023-04-24,275.2514343261719,278.3578898725083,272.27200590077194,275.5640385012809,26611000,MSFT
2023-04-25,269.04840087890625,275.08542457289633,268.9995397003019,273.04377855903545,45772200,MSFT
2023-04-26,288.53680419921875,292.63965188127156,285.95789436799976,289.8360522168842,64599200,MSFT
2023-04-27,297.77801513671875,298.13948055653924,288.419653058881,289.1229976897944,46462600,MSFT
2023-04-28,300.1518249511719,301.78317430412875,296.2931927346846,296.9770107869876,36469600,MSFT
2023-05-01,298.4911193847656,301.4607998428203,298.0906008187468,299.8685037767096,21294100,MSFT
2023-05-02,298.3446044921875,302.02737803508757,296.8793057090036,300.640245214825,26404400,MSFT
2023-05-03,297.35797119140625,301.47056824435134,297.05514515019064,299.52661466140324,22360800,MSFT
2023-05-04,298.3446044921875,300.640245214825,296.38109458301545,299.15539003512066,22519900,MSFT
2023-05-05,303.46337890625,304.7528490194279,297.2309698374708,298.6474372845863,28197100,MSFT
2023-05-08,301.5096130371094,303.0237728629805,299.0088390583922,302.95538510450854,21318600,MSFT
2023-05-09,299.89776611328125,302.8674461510251,299.2237264038661,300.87463180094664,21340800,MSFT
2023-05-10,305.08502197265625,305.7590619061941,300.55237917677385,301.48038400167883,30078000,MSFT
2023-05-11,302.9358825683594,303.9225267081971,299.1749725458381,302.92613418082834,31680200,MSFT
2023-05-12,301.8222351074219,303.463362538451,299.50706787229524,303.3656699936466,19774700,MSFT
2023-05-15,302.3008728027344,302.7306961264119,300.47413858289354,301.94921543513135,16336500,MSFT
2023-05-16,304.5282287597656,306.45265617103314,302.66241092962605,302.66241092962605,26730300,MSFT
2023-05-17,307.4064636230469,307.8274270875237,304.2149092490743,305.7323794637119,24315000,MSFT
2023-05-18,311.8315124511719,312.3406122958503,307.1323177228801,307.9253064598199,27276000,MSFT
