Date,Close,High,Low,Open,Volume,Ticker,Returns,SMA_5,SMA_10,SMA_20,Volatility,Momentum_3,Momentum_5,Momentum_10,Momentum_20,Volume_Change,HL_Spread,Returns_lag1,Returns_lag2,Returns_lag3,Volume_Ratio,DayOfWeek,RSI_14,MACD,MACD_signal,MACD_histogram,BB_width,BB_position,OBV_change,ATR_14,Price_SMA_5_ratio,Price_SMA_10_ratio,Price_SMA_20_ratio,SMA_5_20_ratio,NLP_Sentiment,News_Volume,Future_Close,Target
2021-04-29,130.00892639160156,133.50558183329358,129.00571212903608,132.92117853809344,151101000,AAPL,,,,,,,,,,,0.03461200572261766,,,,,3,,0.0,0.0,0.0,,,,,,,,,0.0,0,128.0414581298828,0
2021-04-30,128.0414581298828,130.08683981317637,127.66160046998598,128.3531289693404,109839500,AAPL,-0.015133332120538467,,,,,,,,,-0.27307231586819414,0.018941047521735244,,,,,4,,-0.12257673211098365,-0.024515346422196726,-0.09806138568878692,,,-inf,,,,,,0.0,0,129.09335327148438,1
2021-05-03,129.09335327148438,130.58358001612103,128.40182480933737,128.6063555356659,75135100,AAPL,0.008215269936511893,,,,,,,,,-0.3159555533300862,0.016900600623452812,-0.015133332120538467,,,,0,,-0.15044488528585181,-0.049541446904202514,-0.10090343838164931,,,-0.6840444466699138,,,,,,0.0,0,124.52533721923828,0
2021-05-04,124.52533721923828,128.070688075214,123.40524078183631,127.77848641989287,137564700,AAPL,-0.03538536986206808,,,,,-0.04217855900021894,,,,0.8308979425062322,0.037465847493861816,0.008215269936511893,-0.015133332120538467,,,1,,-0.47026388519118884,-0.13513981458160865,-0.33512407060958016,,,3.9638979495395397,,,,,,0.0,0,124.76885223388672,1
2021-05-05,124.76885223388672,127.05773315883954,124.6422280399721,125.84023856195147,84000900,AAPL,0.0019555459160869315,127.28758544921875,,,,-0.02555895523055063,,,,-0.38937169201110455,0.019359840822607183,-0.03538536986206808,0.008215269936511893,-0.015133332120538467,,2,,-0.6941939966966042,-0.2467396459446863,-0.44745435075191786,,,-0.48761443578680097,,-0.01978773661581379,,,,0.0,0,126.36617279052734,1
2021-05-06,126.36617279052734,126.37590739453778,123.82403668567083,124.56427529521159,78128300,AAPL,0.01280223812307213,126.55903472900391,,,,-0.02112564599063249,-0.028019257616987314,,,-0.0699111557138078,0.020194254937965773,0.0019555459160869315,-0.03538536986206808,0.008215269936511893,,3,,-0.7507089979482798,-0.34503840361134136,-0.4056705943369385,,,-0.8851239744324684,,-0.0015238891390846332,,,,0.0,0,127.03939056396484,1
2021-05-07,127.03939056396484,128.0638111341248,126.3271553590937,127.66380595625425,78973300,AAPL,0.005327515731235133,126.3586212158203,,,,0.02018909083779752,-0.007826118044528152,,,0.010815543151457385,0.013670214941378224,0.01280223812307213,0.0019555459160869315,-0.03538536986206808,,4,,-0.746829518024975,-0.4239338613797301,-0.3228956566452449,,,-7.788370693991065,,0.005387597154782098,,,,0.0,0,123.76119995117188,0
2021-05-10,123.76119995117188,126.38569336703041,123.7221730582719,126.25886899143829,88071200,AAPL,-0.02580452093039909,125.29219055175781,,,,-0.008076152538663561,-0.04130463099133341,,,0.11520222657531098,0.021521448643107524,0.005327515731235133,0.01280223812307213,0.0019555459160869315,,0,,-0.9692551969912153,-0.5419814674183816,-0.4272737295728337,,,-1.2794835065535046,,-0.012219361748276647,,,,0.0,0,122.8440933227539,0
2021-05-11,122.8440933227539,123.19532046962064,119.78054551827158,120.4927732833166,126142800,AAPL,-0.0074102919879558415,124.95594177246093,,,,-0.027872011868333324,-0.013501219382561436,,,0.4322820626947288,0.027797632421587132,-0.02580452093039909,0.005327515731235133,0.01280223812307213,,1,,-1.1848696044096785,-0.673796074521921,-0.5110735298877574,,,6.557028350435081,,-0.016900744532441725,,,,0.0,0,119.78054809570312,0
2021-05-12,119.78054809570312,121.60501628867115,119.27321336720668,120.39521236408822,112172300,AAPL,-0.024938482137694562,123.95828094482422,125.62293319702148,,,-0.05713851771515588,-0.03998036408023309,,,-0.11075146579907846,0.01946729213161883,-0.0074102919879558415,-0.02580452093039909,0.005327515731235133,,2,,-1.57278860508065,-0.8673811580432671,-0.705407447037383,,,0.7715768128622389,,-0.03370273302661142,-0.04650731321609425,,,0.0,0,121.9269790649414,1
2021-05-13,121.9269790649414,123.0782463378904,121.23426847309511,121.5464761686261,105861300,AAPL,0.017919695671481772,123.07044219970703,124.81473846435547,,,-0.014820645622005357,-0.035129604921600555,-0.06216455708830648,,-0.056261661747151526,0.01512362463940932,-0.024938482137694562,-0.0074102919879558415,-0.02580452093039909,,3,,-1.6623100807891347,-1.014151278469302,-0.6481588023198326,,,-0.41102740446719876,,-0.009291127214039907,-0.023136365424013983,,,0.0,0,124.34658813476562,1
2021-05-14,124.34658813476562,124.77587651193251,122.78554964091157,123.17581112527975,81918000,AAPL,0.01984473894440919,122.5318817138672,124.44525146484375,,,0.012230908067058177,-0.021196594357427934,-0.028856825352372883,,-0.22617613802211012,0.016006284538051363,0.017919695671481772,-0.024938482137694562,-0.0074102919879558415,,4,,-1.546207266805407,-1.1047753143438814,-0.44143195246152556,,,-0.5400299027764227,,0.014810075512723175,-0.0007928251895251703,,,0.0,0,123.1953125,0
2021-05-17,123.1953125,123.83924502210618,122.12209907344122,123.73192293508849,74244600,AAPL,-0.009258602524082837,122.41870422363282,123.8554473876953,,,0.028508505417494945,-0.004572414063495955,-0.045688183179197095,,-0.09367172050098882,0.013938403286772488,0.01984473894440919,0.017919695671481772,-0.024938482137694562,,0,,-1.5511850016120126,-1.2023166628123199,-0.3488683387996927,,,1.0640786773220818,,0.0063438694380271166,-0.005329881742132336,,,0.0,0,121.80989837646484,0
2021-05-18,121.80989837646484,123.8977887358132,121.74160317568686,123.47825894714309,63342900,AAPL,-0.01124567238331542,122.211865234375,123.58390350341797,,,-0.0009602525165016695,-0.008418760058506614,-0.021806315914589036,,-0.14683492132761167,0.017701234373108492,-0.009258602524082837,0.01984473894440919,0.017919695671481772,,1,33.24198520777878,-1.6341732246092806,-1.2996276870199155,-0.3345455375893651,,,0.439825660923411,2.5433241603566414,-0.0032890984614241114,-0.01435466170482358,,,0.0,0,121.65379333496094,0
