Model,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time
Random Forest,0.4726027397260274,0.5,0.012987012987012988,0.02531645569620253,0.5638998682476943,0.760772705078125
XGBoost,0.4931506849315068,0.5384615384615384,0.2727272727272727,0.3620689655172414,0.5083756822887258,0.6798865795135498
SVM,0.4931506849315068,0.7142857142857143,0.06493506493506493,0.11904761904761904,0.42988895162808205,0.22856378555297852
