Date,Close,High,Low,Open,Volume,Ticker
2021-04-29,130.00892639160156,133.50558183329358,129.00571212903608,132.92117853809344,151101000,AAPL
2021-04-30,128.0414581298828,130.08683981317637,127.66160046998598,128.3531289693404,109839500,AAPL
2021-05-03,129.09335327148438,130.58358001612103,128.40182480933737,128.6063555356659,75135100,AAPL
2021-05-04,124.52533721923828,128.070688075214,123.40524078183631,127.77848641989287,137564700,AAPL
2021-05-05,124.76885223388672,127.05773315883954,124.6422280399721,125.84023856195147,84000900,AAPL
2021-05-06,126.36617279052734,126.37590739453778,123.82403668567083,124.56427529521159,78128300,AAPL
2021-05-07,127.03939056396484,128.0638111341248,126.3271553590937,127.66380595625425,78973300,AAPL
2021-05-10,123.76119995117188,126.38569336703041,123.7221730582719,126.25886899143829,88071200,AAPL
2021-05-11,122.8440933227539,123.19532046962064,119.78054551827158,120.4927732833166,126142800,AAPL
2021-05-12,119.78054809570312,121.60501628867115,119.27321336720668,120.39521236408822,112172300,AAPL
2021-05-13,121.9269790649414,123.0782463378904,121.23426847309511,121.5464761686261,105861300,AAPL
2021-05-14,124.34658813476562,124.77587651193251,122.78554964091157,123.17581112527975,81918000,AAPL
2021-05-17,123.1953125,123.83924502210618,122.12209907344122,123.73192293508849,74244600,AAPL
2021-05-18,121.80989837646484,123.8977887358132,121.74160317568686,123.47825894714309,63342900,AAPL
2021-05-19,121.65379333496094,121.87818865261369,119.86835215925528,120.16105011854478,92612000,AAPL
2021-05-20,124.20999908447266,124.61001915730156,122.05381347828964,122.18065274217139,76857100,AAPL
2021-05-21,122.37579345703125,124.88321393915864,122.16114924209418,124.70759662181192,79295400,AAPL
2021-05-24,124.00511169433594,124.82466155300955,122.87336158160026,122.94165678285485,63092900,AAPL
2021-05-25,123.80998229980469,125.19541091008112,123.24410353248182,124.7075784829674,72009500,AAPL
2021-05-26,123.76119995117188,124.28805183989326,123.3416701570207,123.86852204574208,56575900,AAPL
2021-05-27,122.22943115234375,124.5319657543007,122.03430412924318,123.36118872845968,94625600,AAPL
2021-05-28,121.57573699951172,122.736762785055,121.51720038633076,122.51236002849775,71311100,AAPL
2021-06-01,121.25377655029297,122.29772171588232,120.92205913488071,122.03429950032661,67637100,AAPL
2021-06-02,122.01476287841797,122.19038014199401,121.02936192954658,121.25375721746093,59278900,AAPL
2021-06-03,120.53179168701172,121.80989069682863,120.13177164794705,121.64403199734149,76229200,AAPL
2021-06-04,122.82456970214844,123.08799935298282,120.83424294183042,121.04888711847525,75169300,AAPL
2021-06-07,122.83433532714844,123.24410653680496,121.7903901347652,123.09775754946514,71057600,AAPL
2021-06-08,123.65387725830078,125.33200387040455,123.13678395621102,123.51728685562117,74403800,AAPL
2021-06-09,124.03438568115234,124.63929137968418,123.43923856713752,124.11243947005046,56877900,AAPL
2021-06-10,123.03922271728516,125.06857651400928,122.87336400291547,123.9270603510902,71186400,AAPL
2021-06-11,124.2490234375,124.33683580636276,123.02946096276283,123.44899075181716,53522400,AAPL
2021-06-14,127.30284881591797,127.36138545280546,123.97588511550488,124.7076228510832,96906500,AAPL
2021-06-15,126.48326110839844,127.4198916269695,126.23934861668313,126.77595907590421,62746300,AAPL
2021-06-16,126.9808578491211,127.70284430122783,125.3320216426943,127.19550206765987,91815000,AAPL
2021-06-17,128.58090209960938,129.32240559947226,126.49301177385304,126.63936820067508,96721700,AAPL
2021-06-18,127.28327178955078,128.30769210804172,127.06862765550436,127.52718422485502,108953300,AAPL
2021-06-21,129.07847595214844,129.18579802932504,126.06372153950791,127.12717628510836,79663300,AAPL
2021-06-22,130.71759033203125,130.8151612925248,128.41505560442437,128.91264666080772,74783600,AAPL
2021-06-23,130.44439697265625,131.04931007255976,129.98584029942936,130.51269961588608,60214200,AAPL
2021-06-24,130.16148376464844,131.36152922245495,129.69316099657445,131.1761533209972,68711000,AAPL
2021-06-25,129.8687744140625,130.6297802366699,129.5760764313894,130.21025787505408,70783700,AAPL
2021-06-28,131.4981231689453,131.95667992046137,130.10295063063353,130.16148725640332,62111300,AAPL
2021-06-29,133.01036071777344,133.16646828417475,131.07857796707717,131.51761747124857,64556100,AAPL
2021-06-30,133.62501525878906,134.06405473109936,132.5615455661884,132.85424351014055,63261400,AAPL
2021-07-01,133.92747497558594,133.98601159157678,132.4542339993765,133.27379128495963,52485800,AAPL
2021-07-02,136.55198669433594,136.59100614570704,134.39579354693674,134.54213509862615,78852600,AAPL
2021-07-06,138.5618133544922,139.66428770082487,136.65929888430668,136.65929888430668,108181800,AAPL
2021-07-07,141.04969787597656,141.36189806872017,139.18620319634806,140.0447648918188,104911600,AAPL
2021-07-08,139.75210571289062,140.55213093920304,137.24467816832617,138.13252320539087,105575500,AAPL
2021-07-09,141.5765838623047,142.10342835570765,139.17647811244083,139.27404907544525,99890800,AAPL
2021-07-12,140.9814453125,142.75713571421414,140.49362024221452,142.64981360326175,76299700,AAPL
2021-07-13,142.0936737060547,143.8693639556699,140.1326224508896,140.52287651879445,100827100,AAPL
2021-07-14,145.51820373535156,145.92798987044893,144.08399692422722,144.49378305932458,127050800,AAPL
2021-07-15,144.86447143554688,146.3474632313837,143.50831887175875,145.6059747770822,106820300,AAPL
2021-07-16,142.82537841796875,146.11331359035626,142.32780236268064,144.84498071759424,93251400,AAPL
2021-07-19,138.98135375976562,140.56191704499963,138.22034787278739,140.24970186714236,121434600,AAPL
2021-07-20,142.5912322998047,143.5181116494979,139.47892150687957,139.9667464752501,96350000,AAPL
2021-07-21,141.8594970703125,142.57173225410514,141.10825732605966,141.9863363279922,74993500,AAPL
2021-07-22,143.22543334960938,144.59133749363102,142.25953442025497,142.3863736933565,77338200,AAPL
2021-07-23,144.94253540039062,145.09864294509043,143.3424702853048,143.9571344380385,71447400,AAPL
2021-07-26,145.3621063232422,146.18164879238583,144.1035094217646,144.65963709619385,72434100,AAPL
2021-07-27,143.19613647460938,145.57672455410125,142.00584243486344,145.48890475095865,104818600,AAPL
2021-07-28,141.44969177246094,143.39124006828624,139.0691040815247,141.28383310707383,118931200,AAPL
2021-07-29,142.0936737060547,142.9815188308623,141.05948702759235,141.16680912935195,56699500,AAPL
2021-07-30,142.3083038330078,142.76686050541852,140.60091640214495,140.86434605990442,70440600,AAPL
2021-08-02,141.9765625,143.37173456258094,141.7131328866216,142.79610475580563,62880000,AAPL
2021-08-03,143.7718048095703,144.43523975697417,141.64487976916462,142.25954411950144,64786600,AAPL
2021-08-04,143.37179565429688,144.1913382593153,142.7181117988245,143.6840108679653,56368300,AAPL
2021-08-05,143.47906494140625,144.24007063545545,142.6107371680816,143.40101116673,46397700,AAPL
2021-08-06,142.7951202392578,143.74291989384258,142.29679858037488,143.000320280882,54126800,AAPL
2021-08-09,142.74624633789062,143.34228507821692,142.18930041536296,142.8537292225246,48908700,AAPL
2021-08-10,142.2675018310547,144.3292085832048,141.97436527249621,143.08827226738262,69023100,AAPL
2021-08-11,142.52154541015625,143.3618622586966,142.19909668704307,142.7071990606952,48493500,AAPL
2021-08-12,145.4821319580078,145.63847337771486,142.50193887407255,142.84393386598944,72282600,AAPL
2021-08-13,145.68736267089844,146.01957707570978,144.8763581583002,145.56033337689462,59375000,AAPL
2021-08-16,147.66111755371094,147.72952253031957,143.1175540441941,145.1401675406519,103296000,AAPL
2021-08-17,146.7523651123047,148.2082515716852,145.6775365970587,146.79144300852414,92229700,AAPL
2021-08-18,143.0100555419922,147.27026274921596,142.80485554411644,146.37132185900873,86326000,AAPL
2021-08-19,143.34230041503906,144.61254875765684,141.19265740190144,141.71052547158095,86960300,AAPL
2021-08-20,144.79815673828125,145.10105892019794,143.42042593388106,144.06532310737114,60549600,AAPL
2021-08-23,146.2833709716797,146.75238032260847,144.50502086386953,144.91540590962452,60131800,AAPL
2021-08-24,146.19540405273438,147.4070275657464,145.73616049834075,146.0292969025656,48606400,AAPL
